Timestamp,Value,Status
6,17.4,1
25,0.3,2
27,5.5,4
30,8.5,4
31,9.6,4
34,12.7,4
35,13.7,4
39,17.3,1
40,0.6,2
46,7.3,4
52,12.5,3
53,12.5,3
56,14.9,1
57,0.3,2
77,19.5,4
84,27.2,1
85,0.1,2
120,17.3,1
121,0.5,2
136,15.2,3
151,15.2,3
152,0.2,2
169,17.7,1
170,0.7,2
179,9.9,3
180,9.9,3
182,13.5,4
186,17.6,1
205,0.9,2
221,16.9,1
222,0.3,2
257,17.6,1
258,0.2,2
263,4.9,4
264,8.5,4
272,16.7,1
273,0.5,2
307,17.0,1
308,0.0,2
325,17.5,1
326,1.0,2
342,16.9,1
343,0.2,2
357,14.5,3
361,14.5,3
362,0.1,2
364,2.2,3
366,2.2,3
368,6.3,4
371,8.8,4
372,9.9,4
373,11.4,4
375,12.6,3
377,12.6,3
379,14.2,1
380,0.9,2
390,11.2,4
391,12.2,4
395,15.2,1
396,0.8,2
405,10.1,4
413,17.0,1
414,0.7,2
421,7.4,4
426,14.0,3
429,14.0,3
430,0.1,2
443,12.6,3
445,12.6,3
447,13.8,1
448,0.2,2
460,12.6,3
462,12.6,3
465,14.8,1
466,0.7,2
477,11.5,4
478,12.5,4
479,12.6,3
481,12.6,3
483,14.6,1
484,0.5,2
500,15.8,3
510,15.8,3
518,22.2,3
523,22.2,3
524,0.2,2
537,13.6,1
538,0.1,2
554,15.7,3
555,15.7,3
556,0.0,2
584,13.6,1
585,0.5,2
596,11.8,4
600,15.4,4
601,15.6,3
602,15.6,3
603,0.4,2
615,12.3,3
616,12.3,3
619,15.0,1
620,0.3,2
631,11.6,4
636,15.4,1
637,0.2,2
650,12.8,3
652,12.8,3
654,14.1,1
