Timestamp,Value,Status
1,15.07,1
2,14.89,1
3,14.45,1
4,14.3,1
5,14.94,1
6,13.93,1
7,14.33,1
8,14.17,1
9,13.62,1
10,13.57,1
11,13.6,1
12,13.14,1
13,13.28,1
14,13.49,1
15,13.37,1
16,13.5,1
17,14.01,1
18,14.52,1
19,14.7,1
20,14.99,1
21,14.85,1
22,15.14,1
23,15.54,1
24,15.98,1
25,16.45,1
26,15.8,1
27,16.48,1
28,17.13,1
29,17.21,1
30,17.1,1
31,16.92,1
32,16.67,1
33,16.48,1
34,17,1
35,17.02,1
36,16.48,1
37,15.82,1
38,15.12,1
39,15.17,1
40,15.82,1
41,16.07,1
42,15.74,1
43,15.77,1
44,16.11,1
45,16.2,1
46,15.96,1
47,16.17,1
48,16.54,1
49,16.1,1
50,15.99,1
51,15.33,1
52,16.26,1
53,16.55,1
54,16.38,1
55,16.7,1
56,16.8,1
57,16.91,1
58,16.72,1
59,17.02,1
60,17.05,1
61,17.15,1
62,17.01,1
63,17.53,1
64,17.61,1
65,17.74,1
66,17.82,1
67,18.37,1
68,18.96,1
69,19.38,1
70,19.05,1
71,18.55,1
72,18.06,1
73,17.48,1
74,18.11,1
75,18.44,1
76,18.06,1
77,17.92,1
78,17.66,1
79,17.54,1
80,17.78,1
81,17.15,1
82,16.92,1
83,16.89,1
84,17.09,1
85,16.94,1
86,16.97,1
87,16.85,1
88,16.96,1
89,17.02,1
90,16.94,1
91,17.16,1
92,16.73,1
93,16.8,1
94,16.06,1
95,16.22,1
96,16.5,1
97,16.29,1
98,16.24,1
99,16.5,1
100,16.78,1
101,16.06,1
102,16.93,1
103,16.94,1
104,17.01,1
105,17.32,1
106,17.4,1
107,17.36,1
108,17.66,1
109,17.86,1
110,17.96,1
111,18.7,1
112,18.26,1
113,18.25,1
114,18.33,1
115,18.43,1
116,18.49,1
117,18.74,1
118,19.07,1
119,19.33,1
120,19.25,1
121,19.44,1
122,19.38,1
123,18.9,1
124,19.17,1
125,18.84,1
126,18.99,1
127,18.91,1
128,18.49,1
129,18.86,1
130,16.05,1
131,15.97,1
132,15.7,1
133,15.97,1
134,15.64,1
135,15.8,1
136,15.91,1
137,16.3,1
138,16.16,1
139,15.87,1
140,15.38,1
141,16.03,1
142,16.1,1
143,16.38,1
144,16.49,1
145,16.95,1
146,17.18,1
147,16.86,1
148,17.69,1
149,18.03,1
150,17.69,1
151,17.71,1
152,18.16,1
153,18.57,1
154,18.68,1
155,18.67,1
156,18.94,1
157,18.89,1
158,18.79,1
159,19.13,1
160,19.17,1
161,19.09,1
162,18.34,1
163,18.98,1
164,20,1
165,20,1
166,20.31,1
167,20.41,1
168,20.32,1
169,20.08,1
170,20.35,1
171,20.5,1
172,20.52,1
173,20.64,1
174,20.57,1
175,20.72,1
176,21.23,1
177,21.23,1
178,21.53,1
179,21.82,1
180,22.08,1
181,22.76,1
182,22.24,1
183,22.76,1
184,22.38,1
185,22.6,1
186,22.04,1
187,22.6,1
188,22.75,1
189,23.26,1
190,22.53,1
191,22.16,1
192,23.25,1
193,23.26,1
194,24.22,1
195,23.79,1
196,23.73,1
197,24.22,1
198,24.55,1
199,24.29,1
200,24.07,1
201,24.2,1
202,24.45,1
203,24.17,1
204,23.92,1
205,24.12,1
206,23.55,1
207,22.99,1
208,22.38,1
209,22.27,1
210,22.72,1
211,23.95,1
212,24.54,1
213,25.44,1
214,26.2,1
215,25.61,1
216,26.63,1
217,26.47,1
218,25.99,1
219,26.09,1
220,26.16,1
221,26.29,1
222,26,1
223,26.12,1
224,25.95,1
225,24.87,1
226,24.74,1
227,25.07,1
228,25.75,1
229,26.62,1
230,27.2,1
231,26.37,1
232,28.24,1
233,29.05,1
234,29.18,1
235,28.75,1
236,28.9,1
237,28.94,1
238,29.3,1
239,30.66,1
240,30.71,1
241,30.65,1
242,31.02,1
243,30.4,1
244,30.32,1
245,32.24,1
246,33.36,1
247,33.44,1
248,33.95,1
249,34.04,1
250,33.82,1
251,33.71,1
252,34.81,1
253,36.1,1
254,35.58,1
255,34.89,1
256,34.07,1
257,34.85,1
258,34.73,1
259,34.25,1
260,34.43,1
261,35.78,1
262,36.2,1
263,36.63,1
264,37.12,1
265,36.88,1
266,36.11,1
267,36.17,1
268,36.57,1
269,37.6,1
270,38.28,1
271,39.17,1
272,38.7,1
273,38.65,1
274,37.97,1
275,37.9,1
276,36,1
277,36.62,1
278,37.75,1
279,37.27,1
280,36.61,1
281,36.76,1
282,36.25,1
283,36.88,1
284,38.15,1
285,36.62,1
286,35.77,1
287,35.84,1
288,36.95,1
289,38.24,1
290,37.72,1
291,37.41,1
292,36.78,1
293,36,1
294,36.08,1
295,36.7,1
296,34.1,1
297,34,1
298,33.52,1
299,34.17,1
300,35.5,1
301,35.08,1
302,35.76,1
303,37.14,1
304,37.84,1
305,37,1
306,36.41,1
307,35.2,1
308,35.68,1
309,35.86,1
310,36.27,1
311,36.08,1
312,37.14,1
313,36.53,1
314,37.25,1
315,37.96,1
316,38.35,1
317,38.95,1
318,39.08,1
319,38.55,1
320,38.01,1
321,38.49,1
322,38.54,1
323,38.28,1
324,38.3,1
325,38.53,1
326,39.38,1
327,39.4,1
328,39.89,1
329,39.83,1
330,40,1
331,41.13,1
332,41.36,1
333,43,1
334,42.45,1
335,44,1
336,43.5,1
337,42.9,1
338,41.27,1
339,40.25,1
340,39.68,1
341,41.08,1
342,41.93,1
343,42.82,1
344,43.04,1
345,44.3,1
346,44.14,1
347,42.9,1
348,43.96,1
349,44.3,1
350,44.04,1
351,43.44,1
352,42.89,1
353,42.61,1
354,41.72,1
355,39.14,1
356,42.08,1
357,41,1
358,42.91,1
359,43.26,1
360,43.33,1
361,44,1
362,43.04,1
363,42.23,1
364,42.91,1
365,42.7,1
366,42.72,1
367,42.5,1
368,42.25,1
369,41.87,1
370,40.65,1
371,39.9,1
372,38.9,1
373,38.75,1
374,39.49,1
375,37.89,1
376,36.56,1
377,37.7,1
378,36.56,1
379,37.79,1
380,38.14,1
381,37.64,1
382,38.5,1
383,39.98,1
384,39.6,1
385,40.96,1
386,40.4,1
387,40.75,1
388,39.6,1
389,40.23,1
390,39.55,1
391,39.36,1
392,38.71,1
393,39.1,1
394,39,1
395,39.73,1
396,39.37,1
397,38.51,1
398,37.96,1
399,37.63,1
400,37.93,1
401,38.73,1
402,38.09,1
403,37.6,1
404,37,1
405,37.92,1
406,37.7,1
407,38.06,1
408,37,1
409,35.04,1
410,35.47,1
411,35.88,1
412,35.25,1
413,35.35,1
414,35.05,1
415,34.72,1
416,34.47,1
417,34.66,1
418,36.31,1
419,34.75,1
420,34.53,1
421,33.5,1
422,31.55,1
423,31.07,1
424,29.29,1
425,30.22,1
426,30.63,1
427,33.88,1
428,34.19,1
429,36.14,1
430,38.05,1
431,37.43,1
432,38.6,1
433,39.6,1
434,40.11,1
435,40.07,1
436,39.91,1
437,41.1,1
438,41.44,1
439,42.83,1
440,43.32,1
441,42.59,1
442,43.14,1
443,42.5,1
444,44,1
445,43.25,1
446,43.54,1
447,44,1
448,43.97,1
449,43.755,1
450,44.83,1
451,43.65,1
452,44.38,1
453,43.72,1
454,43.18,1
455,44.31,1
456,47,1
457,49,1
458,48.12,1
459,47.74,1
460,49.6,1
461,50.09,1
462,50.44,1
463,49.1,1
464,49.8,1
465,49.8,1
466,51.675,1
467,50.21,1
468,51.01,1
469,48.26,1
470,48.56,1
471,49.67,1
472,51.1,1
473,50.95,1
474,50.66,1
475,51.46,1
476,51.65,1
477,53,1
478,53.9,1
479,54.28,1
480,54.37,1
481,54.27,1
482,53.38,1
483,53.48,1
484,53.67,1
485,51.06,1
486,50.12,1
487,49.41,1
488,49.135,1
489,49.38,1
490,51,1
491,52.65,1
492,54.52,1
493,55.4,1
494,55.89,1
495,53.99,1
496,52.79,1
497,51.045,1
498,52.02,1
499,48.58,1
500,47.3,1
501,48.62,1
502,49.46,1
503,48.84,1
504,46.41,1
505,47.4,1
506,48.79,1
507,46.75,1
508,47.53,1
509,48.77,1
510,48.6,1
511,50.78,1
512,49.81,1
513,51.75,1
514,50.29,1
515,51.3,1
516,50.38,1
517,49,1
518,48.2,1
519,47.9,1
520,48.85,1
521,49.19,1
522,48.33,1
523,48.05,1
524,47.5,1
525,46.9,1
526,47.57,1
527,48.75,1
528,49.77,1
529,52.63,1
530,53.69,1
531,54.57,1
532,55.19,1
533,55.47,1
534,54.04,1
535,53.62,1
536,50.84,1
537,51.38,1
538,53.24,1
539,53.66,1
540,51.1,1
541,50.48,1
542,48.35,1
543,48.3,1
544,47.8,1
545,48.86,1
546,48.16,1
547,47.47,1
548,47.49,1
549,48,1
550,47.81,1
551,47.96,1
552,48.61,1
553,50,1
554,51.4,1
555,51.07,1
556,51.98,1
557,52.68,1
558,51.7,1
559,50.58,1
560,48.5,1
561,48.65,1
562,49.41,1
563,48.21,1
564,46.78,1
565,47.4,1
566,49.23,1
567,49,1
568,49.11,1
569,49.27,1
570,48.94,1
571,49.41,1
572,48.56,1
573,49.45,1
574,47.56,1
575,43.19,1
576,42.7,1
577,43.05,1
578,41.65,1
579,42.25,1
580,41.68,1
581,42.61,1
582,43.3,1
583,43.35,1
584,43.05,1
585,42.13,1
586,41.07,1
587,38.8,1
