Timestamp,Value,Status
84,27.2,1
82,24.6,5
523,22.2,5
239,17.7,1
169,17.7,1
257,17.6,1
186,17.6,1
204,17.6,1
102,17.6,1
325,17.5,1
24,17.4,1
120,17.3,1
39,17.3,1
413,17.0,1
307,17.0,1
289,16.9,1
342,16.9,1
221,16.9,1
272,16.7,1
555,15.7,5
602,15.6,5
636,15.4,1
395,15.2,1
151,15.2,5
619,15.0,1
56,14.9,1
465,14.8,1
483,14.6,1
361,14.5,5
498,14.4,5
379,14.2,1
429,14.0,5
447,13.8,1
537,13.6,1
584,13.6,1
569,13.4,1
134,13.4,5
6,17.4,1
7,0.3,2
24,17.4,1
25,0.3,2
39,17.3,1
40,0.6,2
56,14.9,1
57,0.3,2
84,27.2,1
85,0.1,2
102,17.6,1
103,0.3,2
120,17.3,1
121,0.5,2
152,0.2,2
169,17.7,1
170,0.7,2
186,17.6,1
187,0.8,2
204,17.6,1
205,0.9,2
221,16.9,1
222,0.3,2
239,17.7,1
240,0.7,2
257,17.6,1
258,0.2,2
272,16.7,1
273,0.5,2
289,16.9,1
290,0.1,2
307,17.0,1
308,0.0,2
325,17.5,1
326,1.0,2
342,16.9,1
343,0.2,2
362,0.1,2
379,14.2,1
380,0.9,2
395,15.2,1
396,0.8,2
413,17.0,1
414,0.7,2
430,0.1,2
447,13.8,1
448,0.2,2
465,14.8,1
466,0.7,2
483,14.6,1
484,0.5,2
524,0.2,2
537,13.6,1
538,0.1,2
556,0.0,2
569,13.4,1
570,0.2,2
584,13.6,1
585,0.5,2
603,0.4,2
619,15.0,1
620,0.3,2
636,15.4,1
637,0.2,2
654,14.1,1
655,0.5,2
