Timestamp,Value,Status
1,12.3,1
2,13.3,1
3,14.4,1
4,15.4,1
5,16.4,1
6,17.4,1
7,0.3,1
8,1.4,1
9,2.4,1
10,3.4,1
11,4.5,1
12,5.5,1
13,6.5,1
14,7.6,1
15,8.1,1
16,9.1,1
17,10.1,1
18,11.2,1
19,12.2,1
20,13.2,1
21,14.3,1
22,15.3,1
23,16.3,1
24,17.4,1
25,0.3,1
26,4.4,1
27,5.5,1
28,6.5,1
29,7.5,1
30,8.5,1
31,9.6,1
32,10.6,1
33,11.6,1
34,12.7,1
35,13.7,1
36,14.7,1
37,15.7,1
38,16.2,1
39,17.3,1
40,0.6,1
41,1.6,1
42,2.7,1
43,3.7,1
44,4.7,1
45,6.2,1
46,7.3,1
47,7.8,1
48,8.8,1
49,9.8,1
50,10.9,1
51,11.9,1
52,12.5,1
53,12.5,1
54,12.8,1
55,13.9,1
56,14.9,1
57,0.3,1
58,1.3,1
59,2.4,1
60,3.4,1
61,4.4,1
62,5.5,1
63,6.5,1
64,7.5,1
65,8.5,1
66,9.6,1
67,10.6,1
68,11.6,1
69,12.4,1
70,12.9,1
71,13.9,1
72,14.9,1
73,15.9,1
74,17,1
75,18,1
76,19,1
77,19.5,1
78,20.6,1
79,21.6,1
80,23.1,1
81,23.6,1
82,24.6,1
83,26.2,1
84,27.2,1
85,0.1,1
86,1.1,1
87,2.2,1
88,3.2,1
89,4.2,1
90,5.2,1
91,6.2,1
92,7.3,1
93,8.3,1
94,9.4,1
95,10.4,1
96,11.4,1
97,12.5,1
98,13.5,1
99,14.5,1
100,15.5,1
101,16.5,1
102,17.6,1
103,0.3,1
104,1.3,1
105,2.4,1
106,3.4,1
107,4.4,1
108,4.9,1
109,6,1
110,7,1
111,8,1
112,9,1
113,10.1,1
114,11.1,1
115,12.2,1
116,13.2,1
117,14.2,1
118,15.2,1
119,16.3,1
120,17.3,1
121,0.5,1
122,1.5,1
123,2.6,1
124,3.6,1
125,4.7,1
126,5.7,1
127,6.7,1
128,7.7,1
129,8.8,1
130,9.8,1
131,10.8,1
132,11.9,1
133,12.9,1
134,13.4,1
135,14.9,1
136,15.2,1
137,15.2,1
138,15.2,1
139,15.2,1
140,15.2,1
141,15.2,1
142,15.2,1
143,15.2,1
144,15.2,1
145,15.2,1
146,15.2,1
147,15.2,1
148,15.2,1
149,15.2,1
150,15.2,1
151,15.2,1
152,0.2,1
153,1.2,1
154,2.2,1
155,3.3,1
156,4.3,1
157,5.3,1
158,6.4,1
159,7.4,1
160,8.4,1
161,9.4,1
162,10.5,1
163,11.5,1
164,12.5,1
165,13.6,1
166,14.6,1
167,15.6,1
168,16.6,1
169,17.7,1
170,0.7,1
171,1.7,1
172,2.8,1
173,3.8,1
174,4.8,1
175,5.8,1
176,6.3,1
177,7.9,1
178,8.9,1
179,9.9,1
180,9.9,1
181,12.5,1
182,13.5,1
183,14.1,1
184,15.1,1
185,16.1,1
186,17.6,1
