Timestamp,Value,Status
6,17.4,2
7,0.3,5
24,17.4,2
25,0.3,5
39,17.3,2
26,4.4,7
27,5.5,7
28,6.5,7
29,7.5,7
30,8.5,7
31,9.6,7
32,10.6,7
33,11.6,7
40,0.6,5
52,12.5,1
53,12.5,3
56,14.9,8
57,0.3,5
84,27.2,8
85,0.1,5
102,17.6,2
103,0.3,5
120,17.3,2
121,0.5,5
136,15.2,1
151,15.2,4
152,0.2,5
169,17.7,2
170,0.7,5
179,9.9,1
180,9.9,3
186,17.6,2
187,0.8,5
204,17.6,2
205,0.9,5
221,16.9,2
222,0.3,5
239,17.7,2
240,0.7,5
257,17.6,2
258,0.2,5
272,16.7,2
273,0.5,5
289,16.9,2
290,0.1,5
307,17.0,2
308,0.0,5
325,17.5,2
326,1.0,5
342,16.9,2
343,0.2,5
357,14.5,1
361,14.5,4
362,0.1,5
364,2.2,1
366,2.2,3
375,12.6,1
367,5.3,7
368,6.3,7
369,7.3,7
367,5.3,7
368,6.3,7
369,7.3,7
377,12.6,3
379,14.2,8
380,0.9,5
395,15.2,8
396,0.8,5
413,17.0,2
414,0.7,5
426,14.0,1
429,14.0,4
430,0.1,5
443,12.6,1
445,12.6,3
447,13.8,8
448,0.2,5
460,12.6,1
462,12.6,3
465,14.8,8
466,0.7,5
479,12.6,1
481,12.6,3
483,14.6,8
484,0.5,5
500,15.8,1
510,15.8,3
518,22.2,1
523,22.2,4
524,0.2,5
537,13.6,8
538,0.1,5
554,15.7,1
555,15.7,4
556,0.0,5
569,13.4,8
570,0.2,5
584,13.6,8
585,0.5,5
601,15.6,1
602,15.6,4
603,0.4,5
615,12.3,1
616,12.3,3
619,15.0,8
620,0.3,5
636,15.4,8
637,0.2,5
650,12.8,1
652,12.8,3
654,14.1,8
655,0.5,5
657,2.5,1
658,2.5,3
